iter	Passed	Remaining
252	45714	134976
253	45919	134864
254	46126	134761
255	46327	134640
256	46522	134499
257	46709	134336
258	46922	134246
259	47147	134188
260	47345	134055
261	47532	133889
262	47724	133736
263	47920	133597
264	48130	133494
265	48365	133460
266	48601	133425
267	48783	133243
268	48988	133123
269	49271	133216
270	49532	133244
271	49744	133139
272	49947	133009
273	50185	132972
274	50430	132952
275	50631	132816
276	50816	132637
277	51015	132493
278	51204	132325
279	51396	132162
280	51582	131984
281	51779	131835
282	52004	131756
283	52230	131679
284	52425	131523
285	52616	131356
286	52819	131219
287	53018	131073
288	53212	130914
289	53399	130736
290	53601	130597
291	53804	130458
292	53997	130293
293	54198	130149
294	54391	129986
295	54606	129875
296	54793	129697
297	54992	129546
298	55185	129381
299	55376	129211
300	55566	129039
301	55765	128889
302	55977	128766
303	56178	128619
304	56374	128460
305	56599	128367
306	56791	128196
307	56979	128017
308	57167	127840
309	57352	127655
310	57551	127501
311	57753	127354
312	57952	127198
313	58141	127021
314	58319	126820
315	58512	126652
316	58714	126504
317	58933	126392
318	59122	126214
319	59304	126021
320	59514	125888
321	59734	125776
322	59941	125636
323	60133	125463
324	60322	125285
325	60519	125122
326	60739	125008
327	60948	124870
328	61141	124699
329	61346	124552
330	61544	124390
331	61730	124204
332	61926	124038
333	62145	123919
334	62362	123793
335	62552	123615
336	62721	123396
337	62905	123205
338	63096	123029
339	63295	122868
340	63497	122713
341	63676	122512
342	63857	122315
343	64060	122161
344	64249	121981
345	64429	121783
346	64627	121618
347	64804	121415
348	64993	121235
349	65189	121065
350	65374	120877
351	65588	120741
352	65760	120529
353	65951	120352
354	66145	120179
355	66340	120008
356	66558	119879
357	66734	119675
358	66926	119498
359	67118	119321
360	67297	119122
361	67485	118938
362	67672	118753
363	67848	118548
364	68030	118354
365	68229	118190
366	68419	118009
367	68606	117823
368	68786	117626
369	68967	117431
370	69150	117239
371	69344	117065
372	69593	116983
373	69797	116826
374	69982	116637
375	70164	116443
376	70359	116269
377	70601	116175
378	70783	115979
379	70957	115773
380	71138	115576
381	71317	115377
382	71491	115169
383	71665	114964
384	71844	114765
385	72028	114574
386	72214	114385
387	72402	114202
388	72587	114012
389	72766	113814
390	72947	113618
391	73131	113428
392	73326	113254
393	73518	113076
394	73745	112952
395	73941	112779
396	74142	112615
397	74376	112499
398	74636	112423
399	74837	112256
400	75053	112112
401	75232	111913
402	75448	111767
403	75639	111586
404	75827	111401
405	76004	111198
406	76184	111001
407	76363	110802
408	76545	110607
409	76733	110421
410	76918	110230
411	77098	110034
412	77278	109836
413	77474	109661
414	77650	109459
415	77822	109250
416	78000	109051
417	78182	108856
418	78361	108659
419	78546	108469
420	78716	108258
421	78895	108060
422	79078	107868
423	79258	107672
424	79437	107473
425	79446	107047
426	79622	106847
427	79788	106632
428	79962	106430
429	80143	106237
430	80338	106061
431	80529	105881
432	80702	105677
433	80878	105478
434	81060	105285
435	81249	105102
436	81436	104916
437	81615	104721
438	81800	104533
439	81810	104122
440	82006	103949
441	82015	103539
442	82205	103359
443	82394	103179
444	82588	103004
445	82750	102789
446	82933	102600
447	83105	102398
448	83292	102213
449	83302	101814
450	83513	101660
451	83694	101470
452	83871	101275
453	84045	101077
454	84254	100919
455	84461	100761
456	84647	100576
457	84833	100392
458	85027	100217
459	85211	100031
460	85393	99841
461	85577	99655
462	85773	99482
463	85966	99305
464	86153	99123
465	86357	98958
466	86558	98791
467	86751	98614
468	86930	98422
469	87112	98233
470	87324	98077
471	87526	97911
472	87737	97753
473	87936	97583
474	87944	97202
475	88140	97028
476	88350	96870
477	88557	96709
478	88756	96538
479	88959	96373
480	89156	96199
481	89348	96021
482	89543	95846
483	89736	95669
484	89920	95482
485	90094	95285
486	90267	95086
487	90442	94890
488	90452	94521
489	90640	94340
490	90816	94146
491	90991	93950
492	91172	93761
493	91375	93594
494	91564	93414
495	91749	93229
496	91935	93045
497	92128	92867
498	92303	92673
499	92485	92485
500	92659	92289
501	92854	92114
502	93036	91926
503	93218	91738
504	93393	91544
505	93567	91348
506	93736	91148
507	93917	90959
508	94100	90772
509	94283	90586
510	94468	90401
511	94648	90211
512	94815	90009
513	94993	89818
514	95162	89618
515	95332	89420
516	95514	89232
517	95691	89041
518	95896	88875
519	96099	88706
520	96270	88509
521	96445	88315
522	96628	88129
523	96789	87923
524	96970	87735
525	97142	87539
526	97325	87352
527	97505	87163
528	97677	86968
529	97874	86794
530	98069	86618
531	98246	86426
532	98414	86228
533	98586	86032
534	98756	85835
535	98927	85638
536	99100	85444
537	99268	85245
538	99438	85048
539	99610	84853
540	99773	84650
541	99942	84453
542	100122	84265
543	100301	84075
544	100482	83889
545	100672	83709
546	100849	83519
547	101023	83326
548	101190	83127
549	101358	82929
550	101528	82733
551	101699	82538
552	101876	82348
553	102072	82173
554	102243	81979
555	102424	81792
556	102614	81612
557	102796	81426
558	102977	81239
559	103154	81049
560	103326	80856
561	103491	80657
562	103670	80468
563	103839	80272
564	104001	80072
565	104167	79873
566	104332	79675
567	104504	79481
568	104672	79286
569	104841	79091
570	105020	78903
571	105206	78720
572	105385	78533
573	105566	78347
574	105726	78145
575	105889	77946
576	106059	77752
577	106228	77557
578	106400	77365
579	106578	77177
580	106756	76989
581	106943	76807
582	107110	76612
583	107290	76426
584	107461	76233
585	107633	76041
586	107797	75844
587	107970	75652
588	108146	75463
589	108361	75302
590	108551	75122
591	108727	74933
592	108904	74745
593	109077	74554
594	109291	74391
595	109473	74207
596	109648	74017
597	109814	73822
598	109992	73634
599	110169	73446
600	110346	73258
601	110517	73066
602	110694	72878
603	110868	72688
604	111035	72494
605	111198	72297
606	111375	72109
607	111548	71919
608	111717	71726
609	111893	71538
610	112136	71392
611	112339	71221
612	112530	71042
613	112701	70851
614	112875	70662
615	113045	70469
616	113214	70277
617	113380	70083
618	113552	69892
619	113715	69696
620	113887	69506
621	114051	69310
622	114218	69117
623	114386	68925
624	114559	68735
625	114717	68537
626	114893	68350
627	115065	68159
628	115234	67967
629	115401	67775
630	115567	67582
631	115735	67390
632	115906	67200
633	116074	67008
634	116236	66813
635	116407	66622
636	116577	66432
637	116735	66235
638	116900	66042
639	117067	65850
640	117234	65658
641	117409	65471
642	117575	65278
643	117736	65083
644	117901	64891
645	118072	64702
646	118234	64507
647	118402	64317
648	118581	64132
649	118744	63939
650	118912	63748
651	119087	63562
652	119254	63370
653	119418	63178
654	119584	62987
655	119739	62790
656	119909	62601
657	120075	62410
658	120236	62216
659	120399	62024
660	120560	61830
661	120714	61633
662	120883	61444
663	121050	61254
664	121243	61077
665	121426	60895
666	121598	60708
667	121759	60515
668	121923	60323
669	122095	60136
670	122260	59945
671	122421	59753
672	122584	59561
673	122743	59368
674	122908	59178
675	123073	58987
676	123292	58823
677	123481	58644
678	123648	58455
679	123809	58263
680	123974	58073
681	124142	57884
682	124305	57693
683	124467	57502
684	124638	57315
685	124796	57122
686	124960	56932
687	125159	56758
688	125328	56570
689	125490	56379
690	125652	56188
691	125813	55997
692	125978	55808
693	126145	55620
694	126315	55433
695	126476	55242
696	126635	55051
697	126795	54859
698	126954	54668
699	127117	54478
700	127350	54319
701	127551	54145
702	127718	53957
703	127884	53769
704	128048	53580
705	128217	53393
706	128374	53201
707	128538	53013
708	128699	52822
709	128865	52635
710	129031	52447
711	129206	52263
712	129366	52073
713	129527	51883
714	129691	51695
715	129851	51505
716	130013	51316
717	130180	51129
718	130374	50952
719	130536	50764
720	130712	50581
721	130896	50400
722	131061	50213
723	131226	50025
724	131390	49837
725	131553	49649
726	131711	49459
727	131870	49270
728	132034	49082
729	132199	48895
730	132387	48716
731	132560	48532
732	132720	48344
733	132885	48157
734	133051	47971
735	133213	47783
736	133384	47598
737	133543	47409
738	133704	47221
739	133863	47033
740	134032	46848
741	134196	46661
742	134360	46474
743	134521	46286
744	134676	46097
745	134847	45913
746	135012	45727
747	135179	45541
748	135352	45358
749	135510	45170
750	135669	44982
751	135831	44795
752	135994	44609
753	136166	44425
754	136331	44239
755	136488	44051
756	136652	43866
757	136817	43680
758	136982	43495
759	137146	43309
760	137311	43124
761	137519	42952
762	137693	42769
763	137876	42590
764	138043	42405
765	138209	42220
766	138369	42034
767	138534	41848
768	138697	41663
769	138865	41479
770	139030	41294
771	139196	41109
772	139375	40929
773	139543	40745
774	139701	40558
775	139865	40373
776	140028	40188
777	140202	40006
778	140367	39821
779	140527	39636
780	140686	39449
781	140848	39264
782	141011	39079
783	141173	38894
784	141347	38713
785	141539	38536
786	141694	38349
787	141859	38165
788	142031	37982
789	142198	37799
790	142365	37616
791	142556	37439
792	142720	37254
793	142879	37069
794	143049	36887
795	143214	36703
796	143385	36520
797	143578	36344
798	143733	36158
799	143894	35973
800	144058	35789
801	144219	35605
802	144380	35420
803	144576	35244
804	144743	35062
805	144904	34877
806	145069	34694
807	145230	34510
808	145390	34325
809	145600	34153
810	145809	33980
811	145983	33799
812	146153	33617
813	146316	33433
814	146474	33248
815	146636	33065
816	146797	32881
817	146966	32699
818	147129	32515
819	147291	32332
820	147454	32148
821	147615	31965
822	147776	31781
823	147933	31597
824	148102	31415
825	148281	31236
826	148452	31054
827	148611	30870
828	148770	30687
829	148934	30504
830	149100	30322
831	149262	30139
832	149422	29956
833	149589	29774
834	149741	29589
835	149905	29407
836	150075	29226
837	150261	29048
838	150448	28870
839	150633	28692
840	150795	28509
841	150961	28327
842	151126	28145
843	151300	27965
844	151479	27786
845	151685	27611
846	151870	27433
847	152047	27253
848	152217	27072
849	152401	26894
850	152578	26714
851	152749	26533
852	152922	26353
853	153091	26172
854	153297	25997
855	153546	25830
