,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
124638,128150,566E5372465A574A30654A4F366E414B4E63505930513D3D,427936423533376662334E7776436B4C4D736D3767513D3D,Творческий проект,4,2016/2017,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
125394,128926,6C79522F3161324A39476435674A304B4D75417344773D3D,7838574E4157704B73774C67384E462F5764434B45413D3D,Творческий проект,4,2016/2017,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
126887,130429,58333341704F7A38774859625074614E5972457955413D3D,735345617576736B334E4475707539756A30655170673D3D,Творческий проект,4,2016/2017,незачет,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
127430,130988,6E664E6F645941443066575A697532326775375075513D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,4,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
127589,131167,53354F612B6559354172784A3964654B704634424A773D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,4,2016/2017,незачет,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
128393,132010,617133426E4C466338734F4D4379716C74442F5459673D3D,584F326F4C65654F7152314D416555326F47637A51513D3D,Творческий проект,4,2016/2017,незачет,21.05.03 Технология геологической разведки,Очная,Специалист,Отчисленный
128792,132443,54306447714B7334494153796636395A37675A386A513D3D,56764B7473324965552B6F6E69754772756E6C6455413D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
128793,132470,595947445238544256534A7638624539416A783073773D3D,50596941513646357A44515531576E626353324952673D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
128926,132624,3072592F71524E6F46736A68444A6A6E6F6746776C673D3D,6A61594E334A596362756978665547466A3443374C413D3D,Творческий проект,4,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
129245,132960,6E307661574C5A6C303176685238776A48744B7563773D3D,4535577972527046526672654B4768316B32634432673D3D,Творческий проект,4,2016/2017,незачет,15.03.04 Автоматизация технологических процессов и производств,Очная,Бакалавр,Отчисленный
130841,134631,6248554571654B4F3751496D747138774A31523265773D3D,6A6D415A492B64363464333348734D577164337678773D3D,Творческий проект,4,2016/2017,незачет,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
130842,134647,596550516254414356614F73476537663778684C37673D3D,556B3539434F64567A475A434A7250557547594D31773D3D,Творческий проект,4,2016/2017,незачет,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
132007,135842,416F7636665174754D6C5535443931796963367A6F513D3D,397A4155356D41694B746F522B2B6A4751304B2B4A673D3D,Творческий проект,4,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Учащийся
132639,136509,54553268583742492B536676436C76696A47617657673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
132992,136903,34475345542F526B333178515A7736465077385939773D3D,7035656D5771686C48597554494959567875445148773D3D,Творческий проект,4,2016/2017,незачет,15.03.06 Мехатроника и робототехника,Очная,Бакалавр,Отчисленный
132993,136909,68667669685745494959497553554A624C4F4D7474513D3D,7035656D5771686C48597554494959567875445148773D3D,Творческий проект,4,2016/2017,незачет,15.03.06 Мехатроника и робототехника,Очная,Бакалавр,Отчисленный
133656,137583,775062672B6D3173367A4E4B39566B484B6950374F773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,4,2016/2017,незачет,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
133657,137587,6B704E786F4B79766376416536345736735A526A6B773D3D,414A76534A69726C714B2B72634174627957735665673D3D,Творческий проект,4,2016/2017,незачет,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
134091,138041,45513437412B73532B4B5047493645625652584E59413D3D,34476D6D563469446D484C2F345A41714669686C59773D3D,Творческий проект,4,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
134895,138877,704D544E726B327052324636662F31336A4565566C773D3D,384C6E48676F736D6658426B454A687A4B71796D56673D3D,Творческий проект,4,2016/2017,незачет,38.03.02 Менеджмент,Очная,Бакалавр,Отчисленный
134896,138879,596A7462703535427749657231566C48674A2F3958673D3D,476A55334D744B76724B4F576A3171704863765337673D3D,Творческий проект,4,2016/2017,незачет,38.03.02 Менеджмент,Очная,Бакалавр,Отчисленный
135367,139393,773056773159494D726C515344496A4579334C6249673D3D,5A69503244684C6A31414A456F4B576654335A576C513D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
136833,140868,43755442715535456F446D2F41473658784942694F513D3D,69354461474B6F76376F4775696442345266793645513D3D,Творческий проект,4,2016/2017,незачет,09.03.03 Прикладная информатика,Очная,Бакалавр,Отчисленный
140142,144248,583941657177792B2F672F455A2B74786650443574773D3D,50592F6C4F774C4E5635454A4C3874387257305266413D3D,Творческий проект,4,2016/2017,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
140143,144257,486B582B3749354F69567132633848453966305966413D3D,50592F6C4F774C4E5635454A4C3874387257305266413D3D,Творческий проект,4,2016/2017,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
140144,144261,756370416F46654C714E6532724B493652726A3668513D3D,50592F6C4F774C4E5635454A4C3874387257305266413D3D,Творческий проект,4,2016/2017,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
140145,144265,5A5A63434F6F314C447346532F7961734953535539673D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,4,2016/2017,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
140146,144274,32635553416B7153624F656D305959427143623530513D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,4,2016/2017,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
159127,163348,4A643351756F726D56586B684F52755877335A5A45673D3D,4364782B697138764B646F344C6668786630476F73513D3D,Творческий проект,5,2017/2018,незачет,03.03.02 Физика,Очная,Бакалавр,Отчисленный
204490,208905,424E36463734674F58342F614A6A635A6444513262773D3D,5A776277326E4978616C56594749574B3642363454673D3D,Творческий проект,7,2018/2019,незачет,22.03.02 Металлургия,Очная,Бакалавр,Отчисленный
