,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
80591,82398,4B32686B744B4F41302B6C57477044507230647952513D3D,507248376871564649586342354F7357456743752B773D3D,Творческий проект,2,2015/2016,незачет,38.03.01 Экономика,Очная,Бакалавр,Отчисленный
80592,82404,39772F3769572F585A49615432795A732F77385756773D3D,507248376871564649586342354F7357456743752B773D3D,Творческий проект,2,2015/2016,незачет,38.03.01 Экономика,Очная,Бакалавр,Отчисленный
80629,82444,45513437412B73532B4B5047493645625652584E59413D3D,34476D6D563469446D484C2F345A41714669686C59773D3D,Творческий проект,4,2015/2016,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
81033,82856,33506B316763525945415A656F3238774347374466773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,3,2016/2017,незачет,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
81034,82867,6973315176524A697968425A34735256333232366E773D3D,414A76534A69726C714B2B72634174627957735665673D3D,Творческий проект,3,2016/2017,незачет,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
82658,84538,6A38585549414D784B5A4936505A4A734F4C35727A673D3D,71797847744F4F334F344B4530552B48776E4F3078673D3D,Творческий проект,3,2016/2017,незачет,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Отчисленный
82761,84674,6A4D39567A4D30374C432B424333365442526B4F55673D3D,6736317467326C4C61737358344B556132394E3076773D3D,Творческий проект,2,2014/2015,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
82854,84773,5A75763951687155644F6C376A367745596A6D554C513D3D,3363304D44776C4D3241636D2F57316C5A36476747773D3D,Творческий проект,2,2015/2016,незачет,09.03.02 Информационные системы и технологии,Очная,Бакалавр,Отчисленный
85469,87477,4A73524D676A6E426E4A68716D7770503056332F64413D3D,68305A5371444441535958534F2B2B4F6F63574577513D3D,Творческий проект,3,2016/2017,незачет,"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",Очная,Специалист,Отчисленный
85891,87905,346B47547753447254734162724C5546554B506E78513D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,3,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
85892,87907,70466E6B664341374D43766C48534B4277375A7936673D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,3,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
85893,87915,6E664E6F645941443066575A697532326775375075513D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,3,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
86957,89004,396A4F61753561646C674A43557541576A69565971513D3D,515632347948526E423246574E4557533639707A58513D3D,Творческий проект,3,2016/2017,незачет,12.03.04 Биотехнические системы и технологии,Очная,Бакалавр,Отчисленный
89001,91177,4578706E656250433930546F4A3544314D2B31584D773D3D,57466430394A426736463475436E56354943384858773D3D,Творческий проект,3,2016/2017,незачет,27.03.02 Управление качеством,Очная,Бакалавр,Отчисленный
89814,92008,746274742F334A66394A694546475562617A474C39673D3D,7A5872666456583445666F6933763951645A357A6F413D3D,Творческий проект,3,2016/2017,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
89838,92038,62664C39654F6D617845766C6F45324E42726B612B773D3D,4555476632763875424F4849646E50764A58755066513D3D,Творческий проект,3,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
89840,92041,376230784674515A57414E37434761324F66512B77773D3D,4555476632763875424F4849646E50764A58755066513D3D,Творческий проект,3,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
89841,92044,457578695830476F7144314375784C735350723464513D3D,4555476632763875424F4849646E50764A58755066513D3D,Творческий проект,3,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
90474,92705,2B2F594F58715179766342613567424C58306B4776513D3D,6B727348445775796A74686C5A43745849626B6245513D3D,Творческий проект,3,2013/2014,незачет,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Заочная,Бакалавр,Отчисленный
90687,92928,466272666861544355362F44735A31427A64466B58773D3D,6553695442525745527A4434356A73474E434A7439673D3D,Творческий проект,3,2016/2017,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
91658,93911,5A4C756F54684A517073362F756274452B6A624266513D3D,424B67597A3466565837436F636F6C4134452B7639513D3D,Творческий проект,3,2016/2017,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
91743,93998,512B417343694F5572457241324C4243416C6D3852513D3D,3363304D44776C4D3241636D2F57316C5A36476747773D3D,Творческий проект,3,2016/2017,незачет,09.03.02 Информационные системы и технологии,Очная,Бакалавр,Отчисленный
