,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
5572,78385052323672526B613331505875576341674E37773D3D,44556372766F6E6F4931434A5A746962377555594E673D3D,Творческий проект,3,2013/2014,незачет,38.03.02 Менеджмент,Заочная,Бакалавр,Отчисленный
5573,78385052323672526B613331505875576341674E37773D3D,44556372766F6E6F4931434A5A746962377555594E673D3D,Творческий проект,3,2013/2014,неудовлетворительно,38.03.02 Менеджмент,Заочная,Бакалавр,Отчисленный
5750,3364706771477A484F36614959506176457A777566413D3D,305655636F36424D4A646C336D6F46457139634C46413D3D,Творческий проект,3,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
5757,474C4441552B4F2B427A6A6876706E42304C47554D773D3D,42706B45756251354A694E6A737452454275456E62413D3D,Творческий проект,3,2013/2014,зачтено,20.03.01 Техносферная безопасность,Заочная,Бакалавр,Отчисленный
5777,50685A375A505047676B6F512F41437A464D646135413D3D,5378345538793646334874496F752B627363724170413D3D,Творческий проект,3,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
5913,2F637A39467272743061454F484C53794268545142413D3D,7576356A72412B4C466A325970656B624F68787A66413D3D,Творческий проект,3,2013/2014,зачтено,14.05.04 Электроника и автоматика физических установок,Очная,Специалист,Отчисленный
5914,646A41706170654A61454D7A467955536462557563673D3D,3944744346354E4573647753344471574858706870673D3D,Творческий проект,3,2013/2014,незачет,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
5915,646A41706170654A61454D7A467955536462557563673D3D,3944744346354E4573647753344471574858706870673D3D,Творческий проект,3,2013/2014,неудовлетворительно,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
5939,3851304E4C4F4B61482F2B476E317A567031527741413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,3,2013/2014,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
5944,7149616838533232354C314745666A52624177686D413D3D,38306D4F566F344C74465556643531723148346739413D3D,Творческий проект,3,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
5974,584531774F6C776E2B646A7836346F714342624E73773D3D,356B6F712F2F35546E623052664F464A6D68694474673D3D,Творческий проект,4,2013/2014,зачтено,15.03.04 Автоматизация технологических процессов и производств,Заочная,Бакалавр,Отчисленный
6142,79456E466C47667178382B6E365136623638415846773D3D,2B4D414C464A7979464434366A646A496259776C69773D3D,Творческий проект,2,2012/2013,зачтено,21.05.03 Технология геологической разведки,Заочная,Специалист,Учащийся
6210,6D7A4C64446F6A68375563594171554755516B3463513D3D,43744D554474445057656841434E7548794D455162413D3D,Творческий проект,3,2013/2014,зачтено,"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",Очная,Специалист,Учащийся
6245,3246676C56492F79444F73314A33672B3967685832773D3D,4E6C535448777A5A4C6367644B477671516F5A6E70773D3D,Творческий проект,3,2013/2014,зачтено,18.03.01 Химическая технология,Заочная,Бакалавр,Отчисленный
6312,7455344F494667754D2B4E7445712F3933384D324F673D3D,74753964553444596A4F356B5A547851734A697952513D3D,Творческий проект,3,2013/2014,зачтено,09.03.01 Информатика и вычислительная техника,Заочная,Бакалавр,Отчисленный
6339,574331306E334A472F59723672756E794144677948413D3D,686532414D776D492F562F4A7A55533237384E3535673D3D,Творческий проект,3,2013/2014,зачтено,13.03.01 Теплоэнергетика и теплотехника,Заочная,Бакалавр,Учащийся
6341,744E50506674672B6B6F7735534C5465324E4D5759413D3D,374E59516733776D634C4773766831586768425675413D3D,Творческий проект,3,2013/2014,незачет,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
6342,744E50506674672B6B6F7735534C5465324E4D5759413D3D,374E59516733776D634C4773766831586768425675413D3D,Творческий проект,3,2013/2014,неудовлетворительно,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
6407,79456E466C47667178382B6E365136623638415846773D3D,2B4D414C464A7979464434366A646A496259776C69773D3D,Творческий проект,3,2013/2014,зачтено,21.05.03 Технология геологической разведки,Заочная,Специалист,Учащийся
6408,796F354C4E6A2B462F624D4D414B43746C447A3239413D3D,2B4D414C464A7979464434366A646A496259776C69773D3D,Творческий проект,3,2013/2014,зачтено,21.05.03 Технология геологической разведки,Заочная,Специалист,В отпуске
6410,697446316250366646484859595766647630353474413D3D,59584832497942742F5234316F5447394C5A353072413D3D,Творческий проект,3,2013/2014,зачтено,54.03.01 Дизайн,Очная,Бакалавр,Отчисленный
6585,314F436879714C3130796F53655A756451676B6B6E673D3D,305655636F36424D4A646C336D6F46457139634C46413D3D,Творческий проект,3,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
6603,314767524B46674742576F735A76664D6E6D565156673D3D,56377066462B31686D4C564F544D39315847644A76673D3D,Творческий проект,3,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
6604,35454279355A567A505749765847384B626F646371773D3D,4271754E6E66593767324570435A4A484D42774469773D3D,Творческий проект,3,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
6646,76663478466B557A7650354B6E5450476E4F5A3845513D3D,4466684172745831453641705A4E44436538547964773D3D,Творческий проект,4,2013/2014,зачтено,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
6664,6274495536334D30466F44325636394F4E4F755141413D3D,5254504474696E31476A365948704356427343317A413D3D,Творческий проект,3,2013/2014,зачтено,14.03.02 Ядерные физика и технологии,Очная,Бакалавр,Отчисленный
6741,704D544E726B327052324636662F31336A4565566C773D3D,384C6E48676F736D6658426B454A687A4B71796D56673D3D,Творческий проект,2,2013/2014,зачтено,38.03.02 Менеджмент,Очная,Бакалавр,Отчисленный
6742,3059476E4B6278723479394478337637314D464373413D3D,68564C65416843694C6B5A4B6B754C5655464D3545413D3D,Творческий проект,2,2013/2014,зачтено,38.03.02 Менеджмент,Заочная,Бакалавр,Отчисленный
6743,633578516E757864517250584D476B692B5149525A513D3D,476A55334D744B76724B4F576A3171704863765337673D3D,Творческий проект,2,2013/2014,зачтено,38.03.02 Менеджмент,Очная,Бакалавр,Отчисленный
6745,36446F49457337656A3648773739676A644C4A2B70673D3D,49413762495730614C6A344974707551505759492F413D3D,Творческий проект,3,2013/2014,зачтено,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
