,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
73556,6B42327868514D646D4353727853682F4F3870367A673D3D,4D345A5969655569746F374D446472496D724A5649673D3D,Творческий проект,2,2015/2016,зачтено,14.03.02 Ядерные физика и технологии,Очная,Бакалавр,Отчисленный
73895,47784F784755504E7671514148424978545A694774673D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
73899,2B6C345247546635744D365634494E4B314F35392B413D3D,4466684172745831453641705A4E44436538547964773D3D,Творческий проект,2,2015/2016,зачтено,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
73956,64316F4A384558615932314C3968376169694F4E73413D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73957,556C432F2F7A4C4D78476E4C2F33666E744F645255513D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73958,5A5A626336497874696450796B65734F6E38584E45673D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
73959,4D326E6C556C652F4B686E5669434E436531464563413D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73960,4C4A4F5162335445643664596B3862647644763365513D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73961,3256457A484479753142335836443166417078576A773D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73962,7963584D58664E516B566334364C6E52596769376D413D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73963,6D6C2F446A73392F4A544350424D435578335A5444673D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73964,5A483643426E4571645353717A76702B4F77785A58773D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73965,70526D76385067642F66454E55564876652B69316F413D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
73966,784C6B386341432B56457248794268694C58433242773D3D,39552F535A4F337262464244767044785677314F6F773D3D,Творческий проект,2,2015/2016,зачтено,05.03.06 Экология и природопользование,Очная,Бакалавр,Отчисленный
74077,644B666832734C4850544D3635745A567958777A67513D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74078,424D4F79307158352F30377766506E466D6A2B6836773D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74079,3343334F72757158556B3664614E4B2F3537627045413D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74080,666F3166765A6A6B4C584B4E78667152506B526B69673D3D,31736B3771513136433250386755502F474D713238513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74081,68536A4554504A555576774C746467446E47367544513D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74082,7A4C576336646B2B76356E754F316F572F4C474337413D3D,31736B3771513136433250386755502F474D713238513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74083,387666304F3554644C346530546D6D4E7949496967773D3D,50694D4A38517A4A687564683052597976696E7A72513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74084,394D69384E4B2B693642786554694655337A65612F673D3D,31736B3771513136433250386755502F474D713238513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74085,4D6D6A61742F4B5237574E4B7A4A77585551537752513D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74086,3448554F33784648572B48676B2F68546375586964413D3D,50694D4A38517A4A687564683052597976696E7A72513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74087,566938556B5959624D3732317231636A694F6D5651513D3D,31736B3771513136433250386755502F474D713238513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74088,6C64705176676F742F3630436C7961434564594467513D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74089,3238553869425470782B4B49514D424437464F4D4B513D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74090,52627441764E71387749505A686B3554586B2F4C63773D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74091,4432716A786A73444D596763694154675467484B58413D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74092,50447557544B624A6D72717262545A77562B6A666C413D3D,31736B3771513136433250386755502F474D713238513D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74093,64676B38774E4A666B43564C4E4E2F662F45637773413D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74094,4E7752624339317A77456267314B722B4E4A4C4A6E513D3D,32414B6A356A7877424A4D6B4C5A305151346E4833773D3D,Творческий проект,2,2015/2016,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
74118,445530486B704745706D594F756B524C47545A6976413D3D,623450735A3559715A7836763075694935716B4E32673D3D,Творческий проект,2,2015/2016,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
74119,445530486B704745706D594F756B524C47545A6976413D3D,623450735A3559715A7836763075694935716B4E32673D3D,Творческий проект,2,2015/2016,неудовлетворительно,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
74134,3970545A4A384D374A6D734D746733637574674630413D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74135,32425852484273554D2B6130554D7A744F2F4A7A2B773D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74136,6A52642F644566634565307155687250727532494E513D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74137,4D4C2F424E6F4976666B4547376C674A636E656544673D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74138,42694D576A37456E4D676B704773634967776E356C413D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74139,703165362F524877674D63375344547A4351733644513D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74140,6B39342B654D5532463055516148526561554D3830773D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74141,7237784A66596234354F47414D31616A4C75494B30673D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74142,48544C444E314976433871506C614235777A2B7973513D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74143,346B47547753447254734162724C5546554B506E78513D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,2,2015/2016,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74144,346B47547753447254734162724C5546554B506E78513D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,2,2015/2016,неудовлетворительно,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74145,70466E6B664341374D43766C48534B4277375A7936673D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,2,2015/2016,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74146,70466E6B664341374D43766C48534B4277375A7936673D3D,2F6B2F63542B743942495741745741493572703737673D3D,Творческий проект,2,2015/2016,неудовлетворительно,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74147,32705A78715177366F5456553937532B636D2F794D413D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74148,5A4562694170787A61543750396B76572F6F4A494E513D3D,45354B73795A34322F44487A417A714C4470433031673D3D,Творческий проект,2,2015/2016,зачтено,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
74215,47322F6A52664D54423130707636696778674F764D413D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74216,61445635563565706D51596E766A6A4E364468544C773D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74217,6B5735516863517839797457726C334B41536F5A30673D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74218,6B2F4C2B414547356F337872736D49725954537647773D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74219,55442F716449354541664B3237655770576D635932773D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74220,69716F7477546B546A7A566C505A6C6C792F6C6775773D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74221,50337A74314E4F71774D4A696A3141383243665047773D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74222,45426B4F5A486B4A44397353385A796A657265426A673D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74223,30346547347149794167776F484D59456332655453413D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74224,5278764A2F55414E5430626C4E5363544C32513877413D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74225,6A777679686C6A63647A48734933744669526B7733773D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74226,69446C5652676579716F787766376C34614D637A5A513D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74227,4B526A47613054466C302F6C476C55647454382F53413D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74228,4A695649547669442F4A6B3165694B4B3476765748513D3D,71797847744F4F334F344B4530552B48776E4F3078673D3D,Творческий проект,2,2015/2016,незачет,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Отчисленный
74229,4A695649547669442F4A6B3165694B4B3476765748513D3D,71797847744F4F334F344B4530552B48776E4F3078673D3D,Творческий проект,2,2015/2016,неудовлетворительно,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Отчисленный
74230,5A4E303849614B763736764D5855752B776D537534673D3D,6C2F66346E5359786D6B5A4C396C684D505A317755513D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
74260,6D394C69374E5A634D2B676A304E676E4F54335677513D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74261,6D414D43324354436931735A5A325734594A664C6F413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74262,362F556F37704C736C384156365457454347593541513D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74263,3242614F546B566E522B68425756706D703153354E413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74264,6B794D45526A5A74636D6E5954666D4833596D6936673D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74265,6A6567684F3658385552784337352B54644C487658773D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74266,302F5651305A35306C345138514E6D6633304C6733413D3D,6C3974696C6444634D4C754B3773713246332B7337513D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74267,4A676D527A765241346D69414A304154704B497879513D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74268,57767A467977544C4B446C4E726A6B65416C587565413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74269,5747304D3735643041333975614E632B7962615578413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74270,676533496A7A7976396C75487A3033744E2F313644673D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74271,62436E334C59663677464C3351576B625058515249413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74272,6F2F55502F7833584C6B516D513077717A774D4B71413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74273,674442572F58612F4D304D74593356625233694B6C413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74274,6143457A77556236653870434F306A7A7748483833673D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74275,6A424236465A34373754596D776273662F7457446D513D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74276,32485743315632304E6B365241375746766C623258413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,2,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74308,4D64713237674462336837386C50494F7558437365773D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,4,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74309,2F3858377851516978564E446C7549735663485857413D3D,4532356A6954796E4645584147463547545045695A673D3D,Творческий проект,4,2015/2016,зачтено,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
74435,726E2F554C6535776644455A327A7241546D513656513D3D,624663665941697031726C442B4F75673236724479413D3D,Творческий проект,2,2015/2016,зачтено,12.03.02 Оптотехника,Очная,Бакалавр,Отчисленный
74561,69754951744A683874393833573552326467444B78673D3D,4A71322B6E534C584E575A716F34414D655968792F413D3D,Творческий проект,2,2015/2016,зачтено,12.03.02 Оптотехника,Очная,Бакалавр,Отчисленный
74616,58714F576C4F744E6E6E766D6370706C506E4E664D413D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74617,524D546C387354645A67484D436F53794D38567253513D3D,56377066462B31686D4C564F544D39315847644A76673D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74618,5434786C474B7A5235763846506C696543736B5070773D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74619,786A74624D33496C726E5272705336333835697177513D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74620,645A5068543557337147357067514239347A685954773D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74621,416E342B626A327364505950617969384F4562356F513D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74622,556476365359474F31554E70493879326A44576958673D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74623,656D42347A44394B336473497A384752754C374C44413D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74624,6331645754513633626F4E756E4754396942614544673D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74625,2B644A57486D65567039306357624A4C594B4B316C673D3D,56377066462B31686D4C564F544D39315847644A76673D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74626,7957355A524C3064696D6A4E6465344A3445584C58673D3D,56377066462B31686D4C564F544D39315847644A76673D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74627,6234696437727949783830662B4D424F6D59676472773D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2015/2016,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
74628,363036416444766F676C6F714138726D5879496C6C773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74629,554B43586863676378624643596651304C39622B6A673D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74630,69434975666C2B42636D6D44637768755A63483630513D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74631,6973315176524A697968425A34735256333232366E773D3D,414A76534A69726C714B2B72634174627957735665673D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74632,644C474C315A585763562B69373278485136434277513D3D,414A76534A69726C714B2B72634174627957735665673D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74633,2B5956564572494D663670724F4F5A357171663831413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74634,456C5652675A357565495A33434D38714B704F396B513D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74635,564B6E705171377264497A3452486441376D465833413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74636,2F36626E554E6C5072705A75633262734C474F3854413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74637,775062672B6D3173367A4E4B39566B484B6950374F773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74638,3774553949396C47412B4B4179654731446442355A773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74639,323175494361332B434E47676B434C764131467338413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74640,33506B316763525945415A656F3238774347374466773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74641,4C306D47565238464D62487254476F73556278466F773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74642,7458542B4E78495838364E504C6167755675646C5A413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74643,6459786A5633666B514F6E6146355046756378464D773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74644,426D4B657148446A4D6B2F414D5153673376593446773D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74645,6B4F6B6D655A465976306374546B49687873483236413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74646,743072327148614A68727232623842774F712F7572673D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74647,46313556367653522B584238622B593530364E632F673D3D,4F68324539314B556645666F66337A397843706A73413D3D,Творческий проект,2,2015/2016,зачтено,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
74701,633149735A6356642B73484C6B3142674B752F6579773D3D,624663665941697031726C442B4F75673236724479413D3D,Творческий проект,2,2015/2016,зачтено,12.03.02 Оптотехника,Очная,Бакалавр,Отчисленный
74728,2F794B4B73674A61392F5147494247506D7A784355673D3D,704841504A45636A70696436563239517278303465773D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74729,6263464B6E61343359664D6E524944754663466D37413D3D,646D42386A596B6752666B7236416C41422B4D3439513D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74730,354B72652F68423071704B5641366D695243686F50673D3D,304738582F5A6B647A6E78376531317A4568746C48673D3D,Творческий проект,2,2015/2016,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74731,354B72652F68423071704B5641366D695243686F50673D3D,304738582F5A6B647A6E78376531317A4568746C48673D3D,Творческий проект,2,2015/2016,неудовлетворительно,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74732,346A77654A316B77587035434437723958746D6B53773D3D,704841504A45636A70696436563239517278303465773D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74733,373144616D62663077576170644637376959757458673D3D,646D42386A596B6752666B7236416C41422B4D3439513D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74734,7951306D6B54766945437A63393853682B46385561513D3D,646D42386A596B6752666B7236416C41422B4D3439513D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74735,33436B306D3362416558353334534D503641552B46513D3D,704841504A45636A70696436563239517278303465773D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
74736,495468527A794B32476D5375664A6755334568464F673D3D,304738582F5A6B647A6E78376531317A4568746C48673D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
