,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
131796,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Философия,4,2016/2017,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
134467,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Математика 2.4,4,2016/2017,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
138204,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Эконометрика,4,2016/2017,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
138352,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Теория бухгалтерского учета,4,2016/2017,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
140059,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Этика деловых отношений,4,2016/2017,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
156148,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Институциональная экономика,2,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
156344,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Теория менеджмента,2,2015/2016,удовлетворительно,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
156896,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Учебно-исследовательская работа студентов,5,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
158644,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Безопасность жизнедеятельности 1.2,5,2017/2018,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
158660,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Документирование в хозяйственной деятельности,5,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
159038,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Информационные системы в экономике и управлении,5,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
159054,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Мировая экономика,5,2017/2018,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
159070,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Организация производства на предприятиях,5,2017/2018,удовлетворительно,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
159086,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Организация производства на предприятиях,5,2017/2018,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
159102,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Профессиональный иностранный язык (английский),5,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
159366,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Социология,5,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186103,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Бухгалтерский учет,6,2017/2018,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186391,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Бухгалтерский учет,6,2017/2018,удовлетворительно,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186407,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,История экономических учений,6,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186423,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Методы оптимальных решений,6,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186668,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Организация инновационной деятельности предприятий,6,2017/2018,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186684,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Профессиональный иностранный язык (английский),6,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186700,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Учебно-исследовательская работа студентов,6,2017/2018,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
186716,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Экономическая социология,6,2017/2018,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
